Rank,Name,Birth Date,Age,Debut,Final Game,Team,Profile Link
#,Name,Address,Age,Born on,First Game,Last Game,
1131.,Mike Johnson,,74.107,03-02-1951,07-25-1974,10-02-1974,https://www.baseball-almanac.com/players/player.php?p=johnsmi01
1132.,Sam Perlozzo,,74.105,03-04-1951,09-13-1977,09-13-1979,https://www.baseball-almanac.com/players/player.php?p=perlosa01
1133.,Jeff Burroughs,,74.102,03-07-1951,07-20-1970,10-06-1985,https://www.baseball-almanac.com/players/player.php?p=burroje01
1134.,Terry McDermott,,74.089,03-20-1951,09-12-1972,09-26-1972,https://www.baseball-almanac.com/players/player.php?p=mcderte01
1135.,Dick Ruthven,,74.082,03-27-1951,04-17-1973,05-01-1986,https://www.baseball-almanac.com/players/player.php?p=ruthvdi01
1136.,Tom Johnson,,74.076,04-02-1951,09-10-1974,09-27-1978,https://www.baseball-almanac.com/players/player.php?p=johnsto02
1137.,Bert Blyleven,,74.072,04-06-1951,06-05-1970,10-04-1992,https://www.baseball-almanac.com/players/player.php?p=blylebe01
1138.,Dave Cripe,,74.071,04-07-1951,09-10-1978,10-01-1978,https://www.baseball-almanac.com/players/player.php?p=cripeda01
1139.,Dave Oliver,,74.071,04-07-1951,09-25-1977,10-02-1977,https://www.baseball-almanac.com/players/player.php?p=oliveda01
1140.,Sid Monge,,74.067,04-11-1951,09-12-1975,09-30-1984,https://www.baseball-almanac.com/players/player.php?p=mongesi01
1141.,Doug Flynn,,74.060,04-18-1951,04-09-1975,10-05-1985,https://www.baseball-almanac.com/players/player.php?p=flynndo01
1142.,Randy Sterling,,74.057,04-21-1951,09-16-1974,09-28-1974,https://www.baseball-almanac.com/players/player.php?p=sterlra01
1143.,Rick Burleson,,74.049,04-29-1951,05-04-1974,07-08-1987,https://www.baseball-almanac.com/players/player.php?p=burleri01
1144.,Rudy Meoli,,74.047,05-01-1951,09-09-1971,06-08-1979,https://www.baseball-almanac.com/players/player.php?p=meoliru01
1145.,Dennis Leonard,,74.040,05-08-1951,09-04-1974,09-27-1986,https://www.baseball-almanac.com/players/player.php?p=leonade01
1146.,Joe Nolan,,74.036,05-12-1951,09-21-1972,06-25-1985,https://www.baseball-almanac.com/players/player.php?p=nolanjo01
1147.,Mike Potter,,74.032,05-16-1951,09-06-1976,10-02-1977,https://www.baseball-almanac.com/players/player.php?p=pottemi01
1148.,Jim Sundberg,,74.030,05-18-1951,04-04-1974,09-24-1989,https://www.baseball-almanac.com/players/player.php?p=sundbji01
1149.,Dave Machemer,,74.024,05-24-1951,06-21-1978,07-02-1979,https://www.baseball-almanac.com/players/player.php?p=macheda01
1150.,Randy Elliott,,74.012,06-05-1951,09-10-1972,06-28-1980,https://www.baseball-almanac.com/players/player.php?p=elliora01
1151.,Darryl Jones,,74.012,06-05-1951,06-06-1979,07-11-1979,https://www.baseball-almanac.com/players/player.php?p=jonesda04
1152.,Dave Parker,,74.008,06-09-1951,07-12-1973,10-02-1991,https://www.baseball-almanac.com/players/player.php?p=parkeda01
1153.,Dave Skaggs,,74.005,06-12-1951,04-17-1977,10-04-1980,https://www.baseball-almanac.com/players/player.php?p=skaggda01
1154.,Stan Wall,,74.001,06-16-1951,07-19-1975,07-03-1977,https://www.baseball-almanac.com/players/player.php?p=wallst01
1155.,Mike Anderson,,73.360,06-22-1951,09-02-1971,09-30-1979,https://www.baseball-almanac.com/players/player.php?p=andermi01
1156.,Mike Bruhert,,73.358,06-24-1951,04-09-1978,09-29-1978,https://www.baseball-almanac.com/players/player.php?p=bruhemi01
1157.,Jimmy Freeman,,73.353,06-29-1951,09-01-1972,07-31-1973,https://www.baseball-almanac.com/players/player.php?p=freemji01
1158.,Bruce Kimm,,73.353,06-29-1951,05-04-1976,09-19-1980,https://www.baseball-almanac.com/players/player.php?p=kimmbr01
1159.,Jim Otten,,73.351,07-01-1951,07-31-1974,09-30-1981,https://www.baseball-almanac.com/players/player.php?p=ottenji01
1160.,Jim Hughes,,73.350,07-02-1951,09-14-1974,04-19-1977,https://www.baseball-almanac.com/players/player.php?p=hugheji03
1161.,Keith Marshall,,73.350,07-02-1951,04-07-1973,04-24-1973,https://www.baseball-almanac.com/players/player.php?p=marshke01
1162.,Rich Gossage,,73.347,07-05-1951,04-16-1972,08-08-1994,https://www.baseball-almanac.com/players/player.php?p=gossari01
1163.,Alan Ashby,,73.344,07-08-1951,07-03-1973,05-09-1989,https://www.baseball-almanac.com/players/player.php?p=ashbyal01
1164.,Bob Bailor,,73.342,07-10-1951,09-06-1975,10-06-1985,https://www.baseball-almanac.com/players/player.php?p=bailobo01
1165.,Dan Driessen,,73.323,07-29-1951,06-09-1973,10-03-1987,https://www.baseball-almanac.com/players/player.php?p=driesda01
1166.,Ken Kravec,,73.323,07-29-1951,09-04-1975,10-03-1982,https://www.baseball-almanac.com/players/player.php?p=kraveke01
1167.,Greg Minton,,73.323,07-29-1951,09-07-1975,09-29-1990,https://www.baseball-almanac.com/players/player.php?p=mintogr01
1168.,Gary Thomasson,,73.323,07-29-1951,09-05-1972,10-06-1980,https://www.baseball-almanac.com/players/player.php?p=thomaga01
1169.,Pete Mackanin,,73.320,08-01-1951,07-03-1973,10-03-1981,https://www.baseball-almanac.com/players/player.php?p=mackape01
1170.,Joe McIntosh,,73.317,08-04-1951,04-05-1974,09-27-1975,https://www.baseball-almanac.com/players/player.php?p=mcintjo01
1171.,Mardie Cornejo,,73.316,08-05-1951,04-08-1978,09-29-1978,https://www.baseball-almanac.com/players/player.php?p=cornema01
1172.,Charlie Chant,,73.314,08-07-1951,09-12-1975,10-03-1976,https://www.baseball-almanac.com/players/player.php?p=chantch01
1173.,Jim Sadowski,,73.314,08-07-1951,04-27-1974,05-14-1974,https://www.baseball-almanac.com/players/player.php?p=sadowji01
1174.,Steve Swisher,,73.312,08-09-1951,06-14-1974,09-26-1982,https://www.baseball-almanac.com/players/player.php?p=swishst01
1175.,Butch Hobson,,73.304,08-17-1951,09-07-1975,08-03-1982,https://www.baseball-almanac.com/players/player.php?p=hobsobu01
1176.,Luis Gomez,,73.302,08-19-1951,04-28-1974,10-04-1981,https://www.baseball-almanac.com/players/player.php?p=gomezlu01
1177.,John Doherty,,73.299,08-22-1951,06-01-1974,07-30-1975,https://www.baseball-almanac.com/players/player.php?p=doherjo01
1178.,Ike Hampton,,73.299,08-22-1951,09-12-1974,07-08-1979,https://www.baseball-almanac.com/players/player.php?p=hamptik01
1179.,Buddy Bell,,73.294,08-27-1951,04-15-1972,06-17-1989,https://www.baseball-almanac.com/players/player.php?p=bellbu01
1180.,Joel Youngblood,,73.293,08-28-1951,04-13-1976,09-27-1989,https://www.baseball-almanac.com/players/player.php?p=youngjo02
1181.,Dave Criscione,,73.288,09-02-1951,07-17-1977,07-31-1977,https://www.baseball-almanac.com/players/player.php?p=criscda01
1182.,Alan Bannister,,73.287,09-03-1951,07-13-1974,10-06-1985,https://www.baseball-almanac.com/players/player.php?p=bannial01
1183.,Dave Campbell,,73.287,09-03-1951,05-06-1977,10-01-1978,https://www.baseball-almanac.com/players/player.php?p=campbda02
1184.,Steve Barr,,73.282,09-08-1951,10-01-1974,09-29-1976,https://www.baseball-almanac.com/players/player.php?p=barrst01
1185.,Tom McMillan,,73.277,09-13-1951,09-17-1977,09-21-1977,https://www.baseball-almanac.com/players/player.php?p=mcmilto02
1186.,Nardi Contreras,,73.271,09-19-1951,05-23-1980,10-01-1980,https://www.baseball-almanac.com/players/player.php?p=contrna01
1187.,Doug Konieczny,,73.263,09-27-1951,09-11-1973,04-30-1977,https://www.baseball-almanac.com/players/player.php?p=koniedo01
1188.,Dave Rajsich,,73.262,09-28-1951,07-02-1978,09-17-1980,https://www.baseball-almanac.com/players/player.php?p=rajsida01
1189.,Ken Pape,,73.259,10-01-1951,05-17-1976,10-03-1976,https://www.baseball-almanac.com/players/player.php?p=papeke01
1190.,Bob Coluccio,,73.258,10-02-1951,04-15-1973,07-28-1978,https://www.baseball-almanac.com/players/player.php?p=colucbo01
1191.,Dave Winfield,,73.257,10-03-1951,06-19-1973,10-01-1995,https://www.baseball-almanac.com/players/player.php?p=winfida01
1192.,Derek Bryant,,73.251,10-09-1951,04-24-1979,09-19-1979,https://www.baseball-almanac.com/players/player.php?p=bryande01
1193.,Frank LaCorte,,73.247,10-13-1951,09-08-1975,09-24-1984,https://www.baseball-almanac.com/players/player.php?p=lacorfr01
1194.,Tommy Toms,,73.245,10-15-1951,05-04-1975,07-02-1977,https://www.baseball-almanac.com/players/player.php?p=tomsto01
1195.,Rudy Hernandez,,73.242,10-18-1951,09-06-1972,10-04-1972,https://www.baseball-almanac.com/players/player.php?p=hernaru02
1196.,Ron Pruitt,,73.239,10-21-1951,06-25-1975,04-09-1983,https://www.baseball-almanac.com/players/player.php?p=pruitro01
1197.,Steve Ontiveros,,73.234,10-26-1951,08-05-1973,06-21-1980,https://www.baseball-almanac.com/players/player.php?p=ontivst01
1198.,Tom Poquette,,73.230,10-30-1951,09-01-1973,07-09-1982,https://www.baseball-almanac.com/players/player.php?p=poqueto01
1199.,Dave Freisleben,,73.229,10-31-1951,04-26-1974,09-30-1979,https://www.baseball-almanac.com/players/player.php?p=freisda01
1200.,Eric Raich,,73.228,11-01-1951,05-24-1975,09-12-1976,https://www.baseball-almanac.com/players/player.php?p=raicher01
1201.,Chico Ruiz,,73.228,11-01-1951,07-29-1978,09-25-1980,https://www.baseball-almanac.com/players/player.php?p=ruizch02
1202.,Dwight Evans,,73.226,11-03-1951,09-16-1972,10-06-1991,https://www.baseball-almanac.com/players/player.php?p=evansdw01
1203.,John Tamargo,,73.222,11-07-1951,09-03-1976,10-05-1980,https://www.baseball-almanac.com/players/player.php?p=tamarjo01
1204.,Mike Vail,,73.219,11-10-1951,08-18-1975,07-30-1984,https://www.baseball-almanac.com/players/player.php?p=vailmi01
1205.,Larry Harlow,,73.216,11-13-1951,09-20-1975,10-03-1981,https://www.baseball-almanac.com/players/player.php?p=harlola01
1206.,Orlando Gonzalez,,73.214,11-15-1951,06-07-1976,10-05-1980,https://www.baseball-almanac.com/players/player.php?p=gonzaor01
1207.,Herb Washington,,73.213,11-16-1951,04-04-1974,05-04-1975,https://www.baseball-almanac.com/players/player.php?p=washihe01
1208.,Jackson Todd,,73.209,11-20-1951,05-05-1977,10-04-1981,https://www.baseball-almanac.com/players/player.php?p=toddja01
1209.,Wayne Cage,,73.206,11-23-1951,04-22-1978,09-30-1979,https://www.baseball-almanac.com/players/player.php?p=cagewa01
1210.,Bucky Dent,,73.204,11-25-1951,06-01-1973,09-11-1984,https://www.baseball-almanac.com/players/player.php?p=dentbu01
1211.,Dan Spillner,,73.202,11-27-1951,05-21-1974,10-05-1985,https://www.baseball-almanac.com/players/player.php?p=spillda01
1212.,Gary Wheelock,,73.200,11-29-1951,09-17-1976,04-18-1980,https://www.baseball-almanac.com/players/player.php?p=wheelga01
1213.,Lafayette Currence,,73.196,12-03-1951,07-24-1975,09-10-1975,https://www.baseball-almanac.com/players/player.php?p=currela01
1214.,Jimmy Sexton,,73.184,12-15-1951,09-02-1977,10-02-1983,https://www.baseball-almanac.com/players/player.php?p=sextoji01
1215.,Orlando Ramirez,,73.181,12-18-1951,07-06-1974,05-16-1979,https://www.baseball-almanac.com/players/player.php?p=ramiror01
1216.,Mike Hart,,73.179,12-20-1951,06-12-1980,06-22-1980,https://www.baseball-almanac.com/players/player.php?p=hartmi01
1217.,John D'Acquisto,,73.175,12-24-1951,09-02-1973,10-01-1982,https://www.baseball-almanac.com/players/player.php?p=dacqjo01
1218.,Joe Simpson,,73.168,12-31-1951,09-02-1975,10-01-1983,https://www.baseball-almanac.com/players/player.php?p=simpsjo01
1219.,Greg Heydeman,,73.166,01-02-1952,09-02-1973,09-02-1973,https://www.baseball-almanac.com/players/player.php?p=heydegr01
1220.,Bob Adams,,73.162,01-06-1952,07-10-1977,09-29-1977,https://www.baseball-almanac.com/players/player.php?p=adamsbo04
1221.,Doug Capilla,,73.161,01-07-1952,09-12-1976,09-29-1981,https://www.baseball-almanac.com/players/player.php?p=capildo01
1222.,Bob Gorinski,,73.161,01-07-1952,04-10-1977,10-01-1977,https://www.baseball-almanac.com/players/player.php?p=gorinbo01
1223.,Don Hopkins,,73.159,01-09-1952,04-08-1975,10-03-1976,https://www.baseball-almanac.com/players/player.php?p=hopkido01
1224.,Joe Wallis,,73.159,01-09-1952,09-02-1975,09-30-1979,https://www.baseball-almanac.com/players/player.php?p=wallijo01
1225.,Bob Galasso,,73.155,01-13-1952,07-24-1977,09-05-1981,https://www.baseball-almanac.com/players/player.php?p=galasbo01
1226.,Terry Forster,,73.154,01-14-1952,04-11-1971,10-02-1986,https://www.baseball-almanac.com/players/player.php?p=forstte01
1227.,Wayne Gross,,73.154,01-14-1952,08-21-1976,10-01-1986,https://www.baseball-almanac.com/players/player.php?p=grosswa01
1228.,Pete LaCock,,73.151,01-17-1952,09-06-1972,10-05-1980,https://www.baseball-almanac.com/players/player.php?p=lacocpe01
1229.,Mike Krukow,,73.147,01-21-1952,09-06-1976,06-04-1989,https://www.baseball-almanac.com/players/player.php?p=krukomi01
1230.,John Scott,,73.144,01-24-1952,09-07-1974,09-27-1977,https://www.baseball-almanac.com/players/player.php?p=scottjo01
1231.,Warren Brusstar,,73.135,02-02-1952,05-06-1977,10-03-1985,https://www.baseball-almanac.com/players/player.php?p=brusswa01
1232.,Fred Lynn,,73.134,02-03-1952,09-05-1974,10-03-1990,https://www.baseball-almanac.com/players/player.php?p=lynnfr01
1233.,Will McEnaney,,73.123,02-14-1952,07-03-1974,09-27-1979,https://www.baseball-almanac.com/players/player.php?p=mcenawi01
1234.,Barry Foote,,73.121,02-16-1952,09-14-1973,08-08-1982,https://www.baseball-almanac.com/players/player.php?p=footeba01
1235.,Jerry Hairston,,73.121,02-16-1952,07-26-1973,09-25-1989,https://www.baseball-almanac.com/players/player.php?p=hairsje01
1236.,Marc Hill,,73.119,02-18-1952,09-28-1973,05-25-1986,https://www.baseball-almanac.com/players/player.php?p=hillma01
1237.,Dennis Kinney,,73.111,02-26-1952,04-09-1978,05-20-1982,https://www.baseball-almanac.com/players/player.php?p=kinnede01
1238.,Henry Cruz,,73.110,02-27-1952,04-18-1975,07-30-1978,https://www.baseball-almanac.com/players/player.php?p=cruzhe02
1239.,Bob Davis,,73.108,03-01-1952,04-06-1973,09-09-1981,https://www.baseball-almanac.com/players/player.php?p=davisbo02
1240.,Mike Squires,,73.104,03-05-1952,09-01-1975,09-24-1985,https://www.baseball-almanac.com/players/player.php?p=squirmi01
1241.,Jerry Tabb,,73.092,03-17-1952,09-08-1976,05-29-1978,https://www.baseball-almanac.com/players/player.php?p=tabbje01
1242.,Rick Langford,,73.089,03-20-1952,06-13-1976,07-13-1986,https://www.baseball-almanac.com/players/player.php?p=langfri01
1243.,Greg Terlecky,,73.089,03-20-1952,06-12-1975,09-23-1975,https://www.baseball-almanac.com/players/player.php?p=terlegr01
1244.,Fernando Arroyo,,73.088,03-21-1952,06-28-1975,08-11-1986,https://www.baseball-almanac.com/players/player.php?p=arroyfe01
1245.,Eddie Bane,,73.087,03-22-1952,07-04-1973,09-12-1976,https://www.baseball-almanac.com/players/player.php?p=baneed01
1246.,Eric Rasmussen,,73.087,03-22-1952,07-21-1975,10-02-1983,https://www.baseball-almanac.com/players/player.php?p=rasmuer01
1247.,Bill Castro,,73.080,03-29-1952,08-20-1974,06-25-1983,https://www.baseball-almanac.com/players/player.php?p=castrbi01
1248.,Mike Bacsik,,73.077,04-01-1952,06-15-1975,08-09-1980,https://www.baseball-almanac.com/players/player.php?p=bacsimi01
1249.,Ed Plank,,73.069,04-09-1952,09-06-1978,09-22-1979,https://www.baseball-almanac.com/players/player.php?p=planked02
1250.,Joe Gilbert,,73.058,04-20-1952,04-30-1972,07-15-1973,https://www.baseball-almanac.com/players/player.php?p=gilbejo02
1251.,Bob McClure,,73.049,04-29-1952,08-13-1975,05-17-1993,https://www.baseball-almanac.com/players/player.php?p=mcclubo01
1252.,Ron Washington,,73.049,04-29-1952,09-10-1977,07-07-1989,https://www.baseball-almanac.com/players/player.php?p=washiro01
1253.,Bob Allietta,,73.047,05-01-1952,05-06-1975,09-28-1975,https://www.baseball-almanac.com/players/player.php?p=alliebo01
1254.,Sam Mejias,,73.039,05-09-1952,09-06-1976,10-03-1981,https://www.baseball-almanac.com/players/player.php?p=mejiasa01
1255.,Rick Waits,,73.033,05-15-1952,09-17-1973,10-06-1985,https://www.baseball-almanac.com/players/player.php?p=waitsri01
1256.,Porfi Altamirano,,73.031,05-17-1952,05-09-1982,06-08-1984,https://www.baseball-almanac.com/players/player.php?p=altampo01
1257.,Dan Ford,,73.029,05-19-1952,04-12-1975,05-31-1985,https://www.baseball-almanac.com/players/player.php?p=fordda01
1258.,Pepe Mangual,,73.025,05-23-1952,09-06-1972,10-02-1977,https://www.baseball-almanac.com/players/player.php?p=mangupe01
1259.,Butch Metzger,,73.025,05-23-1952,09-08-1974,06-28-1978,https://www.baseball-almanac.com/players/player.php?p=metzgbu01
1260.,Fred Holdsworth,,73.019,05-29-1952,07-27-1972,09-21-1980,https://www.baseball-almanac.com/players/player.php?p=holdsfr01
1261.,Dwight Bernard,,73.017,05-31-1952,06-29-1978,10-02-1982,https://www.baseball-almanac.com/players/player.php?p=bernadw01
1262.,Mike Davey,,73.015,06-02-1952,08-13-1977,09-29-1978,https://www.baseball-almanac.com/players/player.php?p=daveymi01
1263.,Ernie Whitt,,73.004,06-13-1952,09-12-1976,07-03-1991,https://www.baseball-almanac.com/players/player.php?p=whitter01
1264.,Dave Downs,,72.361,06-21-1952,09-02-1972,09-19-1972,https://www.baseball-almanac.com/players/player.php?p=downsda01
1265.,Randy Scarbery,,72.360,06-22-1952,04-16-1979,05-29-1980,https://www.baseball-almanac.com/players/player.php?p=scarbra02
1266.,Steve Bowling,,72.356,06-26-1952,09-07-1976,10-02-1977,https://www.baseball-almanac.com/players/player.php?p=bowlist01
1267.,Joe Sambito,,72.354,06-28-1952,07-20-1976,10-03-1987,https://www.baseball-almanac.com/players/player.php?p=sambijo01
1268.,Ryan Kurosaki,,72.349,07-03-1952,05-20-1975,06-16-1975,https://www.baseball-almanac.com/players/player.php?p=kurosry01
1269.,Don DeMola,,72.347,07-05-1952,04-13-1974,09-28-1975,https://www.baseball-almanac.com/players/player.php?p=demoldo01
1270.,Jerry Augustine,,72.328,07-24-1952,09-09-1975,04-11-1984,https://www.baseball-almanac.com/players/player.php?p=augusje01
1271.,Bump Wills,,72.325,07-27-1952,04-07-1977,10-03-1982,https://www.baseball-almanac.com/players/player.php?p=willsbu01
1272.,Mickey Mahler,,72.322,07-30-1952,09-13-1977,09-28-1986,https://www.baseball-almanac.com/players/player.php?p=mahlemi01
1273.,Greg Gross,,72.320,08-01-1952,09-05-1973,09-27-1989,https://www.baseball-almanac.com/players/player.php?p=grossgr01
1274.,Art James,,72.319,08-02-1952,04-10-1975,08-04-1975,https://www.baseball-almanac.com/players/player.php?p=jamesar01
1275.,Bombo Rivera,,72.319,08-02-1952,04-17-1975,10-03-1982,https://www.baseball-almanac.com/players/player.php?p=riverbo01
1276.,Dan Meyer,,72.318,08-03-1952,09-14-1974,05-24-1985,https://www.baseball-almanac.com/players/player.php?p=meyerda01
1277.,Greg Mahlberg,,72.313,08-08-1952,09-24-1978,09-30-1979,https://www.baseball-almanac.com/players/player.php?p=mahlbgr01
1278.,Al Holland,,72.305,08-16-1952,09-05-1977,08-09-1987,https://www.baseball-almanac.com/players/player.php?p=hollaal01
1279.,Tim Blackwell,,72.302,08-19-1952,07-03-1974,05-17-1983,https://www.baseball-almanac.com/players/player.php?p=blackti01
1280.,Chip Lang,,72.300,08-21-1952,09-08-1975,10-03-1976,https://www.baseball-almanac.com/players/player.php?p=langch01
1281.,Gary Beare,,72.299,08-22-1952,09-07-1976,10-01-1977,https://www.baseball-almanac.com/players/player.php?p=bearega01
1282.,Jerry White,,72.298,08-23-1952,09-16-1974,06-09-1986,https://www.baseball-almanac.com/players/player.php?p=whiteje01
1283.,Mike Edwards,,72.294,08-27-1952,09-10-1977,09-28-1980,https://www.baseball-almanac.com/players/player.php?p=edwarmi01
1284.,Nate Snell,,72.288,09-02-1952,09-20-1984,09-29-1987,https://www.baseball-almanac.com/players/player.php?p=snellna01
1285.,Rick Sweet,,72.283,09-07-1952,04-08-1978,10-02-1983,https://www.baseball-almanac.com/players/player.php?p=sweetri01
1286.,Larry McCall,,72.282,09-08-1952,09-10-1977,09-27-1979,https://www.baseball-almanac.com/players/player.php?p=mccalla01
1287.,Jerry Mumphrey,,72.281,09-09-1952,09-10-1974,09-30-1988,https://www.baseball-almanac.com/players/player.php?p=mumphje01
1288.,Sam Bowen,,72.272,09-18-1952,08-25-1977,10-04-1980,https://www.baseball-almanac.com/players/player.php?p=bowensa02
1289.,Jim Wilhelm,,72.270,09-20-1952,09-04-1978,09-30-1979,https://www.baseball-almanac.com/players/player.php?p=wilheji01
1290.,Art Gardner,,72.269,09-21-1952,09-02-1975,09-17-1978,https://www.baseball-almanac.com/players/player.php?p=gardnar01
1291.,Gary Gray,,72.269,09-21-1952,06-23-1977,09-27-1982,https://www.baseball-almanac.com/players/player.php?p=grayga01
1292.,Dell Alston,,72.268,09-22-1952,05-17-1977,10-04-1980,https://www.baseball-almanac.com/players/player.php?p=alstode01
1293.,Dennis Lamp,,72.267,09-23-1952,08-21-1977,06-06-1992,https://www.baseball-almanac.com/players/player.php?p=lampde01
1294.,Jim Morrison,,72.267,09-23-1952,09-18-1977,09-28-1988,https://www.baseball-almanac.com/players/player.php?p=morriji01
1295.,Pat Scanlon,,72.267,09-23-1952,09-27-1974,10-02-1977,https://www.baseball-almanac.com/players/player.php?p=scanlpa02
1296.,Rod Gilbreath,,72.266,09-24-1952,06-17-1972,10-01-1978,https://www.baseball-almanac.com/players/player.php?p=gilbrro01
1297.,Sal Butera,,72.265,09-25-1952,04-10-1980,09-26-1988,https://www.baseball-almanac.com/players/player.php?p=butersa01
1298.,Mike Stanton,,72.265,09-25-1952,07-09-1975,08-08-1985,https://www.baseball-almanac.com/players/player.php?p=stantmi01
1299.,Terry Cornutt,,72.258,10-02-1952,04-09-1977,09-15-1978,https://www.baseball-almanac.com/players/player.php?p=cornute01
1300.,John Caneira,,72.253,10-07-1952,09-10-1977,07-22-1978,https://www.baseball-almanac.com/players/player.php?p=caneijo01
1301.,Jerry Royster,,72.242,10-18-1952,08-14-1973,09-28-1988,https://www.baseball-almanac.com/players/player.php?p=roystje01
1302.,Dave Collins,,72.240,10-20-1952,06-07-1975,10-03-1990,https://www.baseball-almanac.com/players/player.php?p=collida02
1303.,John Poff,,72.237,10-23-1952,09-08-1979,10-05-1980,https://www.baseball-almanac.com/players/player.php?p=poffjo01
1304.,Omar Moreno,,72.236,10-24-1952,09-06-1975,10-05-1986,https://www.baseball-almanac.com/players/player.php?p=morenom01
1305.,Reggie Walton,,72.236,10-24-1952,06-13-1980,06-06-1982,https://www.baseball-almanac.com/players/player.php?p=waltore01
1306.,Rowland Office,,72.235,10-25-1952,08-05-1972,04-20-1983,https://www.baseball-almanac.com/players/player.php?p=officro01
1307.,Roy Smalley,,72.235,10-25-1952,04-30-1975,10-04-1987,https://www.baseball-almanac.com/players/player.php?p=smallro02
1308.,Gil Flores,,72.233,10-27-1952,05-08-1977,09-30-1979,https://www.baseball-almanac.com/players/player.php?p=floregi01
1309.,Bill Travers,,72.233,10-27-1952,05-19-1974,07-17-1983,https://www.baseball-almanac.com/players/player.php?p=travebi01
1310.,Pete Vuckovich,,72.233,10-27-1952,08-03-1975,10-02-1986,https://www.baseball-almanac.com/players/player.php?p=vuckope01
1311.,Tom Brennan,,72.230,10-30-1952,09-05-1981,05-27-1985,https://www.baseball-almanac.com/players/player.php?p=brennto01
1312.,Doug Corbett,,72.225,11-04-1952,04-10-1980,07-30-1987,https://www.baseball-almanac.com/players/player.php?p=corbedo01
1313.,Tom Carroll,,72.224,11-05-1952,07-07-1974,09-13-1975,https://www.baseball-almanac.com/players/player.php?p=carroto02
1314.,John Denny,,72.221,11-08-1952,09-12-1974,08-18-1986,https://www.baseball-almanac.com/players/player.php?p=dennyjo01
1315.,Rick Williams,,72.220,11-09-1952,06-12-1978,09-26-1979,https://www.baseball-almanac.com/players/player.php?p=williri03
1316.,John Sutton,,72.216,11-13-1952,04-07-1977,09-29-1978,https://www.baseball-almanac.com/players/player.php?p=suttojo01
1317.,Tom Donohue,,72.214,11-15-1952,04-06-1979,10-05-1980,https://www.baseball-almanac.com/players/player.php?p=donohto01
1318.,Dan Briggs,,72.211,11-18-1952,09-10-1975,07-03-1982,https://www.baseball-almanac.com/players/player.php?p=briggda01
1319.,Steve Henderson,,72.211,11-18-1952,06-16-1977,09-28-1988,https://www.baseball-almanac.com/players/player.php?p=hendest01
1320.,Bill Almon,,72.208,11-21-1952,09-02-1974,06-14-1988,https://www.baseball-almanac.com/players/player.php?p=almonbi01
1321.,Dan Warthen,,72.198,12-01-1952,05-18-1975,09-29-1978,https://www.baseball-almanac.com/players/player.php?p=warthda01
1322.,Larry Anderson,,72.196,12-03-1952,09-25-1974,06-26-1977,https://www.baseball-almanac.com/players/player.php?p=anderla01
1323.,Chuck Baker,,72.193,12-06-1952,04-07-1978,10-04-1981,https://www.baseball-almanac.com/players/player.php?p=bakerch02
1324.,Jeff Schneider,,72.193,12-06-1952,08-12-1981,10-02-1981,https://www.baseball-almanac.com/players/player.php?p=schneje01
1325.,Bruce Boisclair,,72.190,12-09-1952,09-11-1974,09-30-1979,https://www.baseball-almanac.com/players/player.php?p=boiscbr01
1326.,Rob Andrews,,72.188,12-11-1952,04-07-1975,09-26-1979,https://www.baseball-almanac.com/players/player.php?p=andrero01
1327.,Tommy Bianco,,72.183,12-16-1952,05-28-1975,09-27-1975,https://www.baseball-almanac.com/players/player.php?p=biancto01
1328.,Santo Alcala,,72.176,12-23-1952,04-10-1976,09-25-1977,https://www.baseball-almanac.com/players/player.php?p=alcalsa01
1329.,Julio Gonzalez,,72.174,12-25-1952,04-08-1977,06-19-1983,https://www.baseball-almanac.com/players/player.php?p=gonzaju02
1330.,Mark Budaska,,72.172,12-27-1952,06-06-1978,08-18-1981,https://www.baseball-almanac.com/players/player.php?p=budasma01
1331.,Craig Reynolds,,72.172,12-27-1952,08-01-1975,09-27-1989,https://www.baseball-almanac.com/players/player.php?p=reynocr01
1332.,Ray Knight,,72.171,12-28-1952,09-10-1974,10-02-1988,https://www.baseball-almanac.com/players/player.php?p=knighra01
1333.,Dennis Werth,,72.170,12-29-1952,09-17-1979,09-27-1982,https://www.baseball-almanac.com/players/player.php?p=werthde01
1334.,Lynn Jones,,72.167,01-01-1953,04-13-1979,10-04-1986,https://www.baseball-almanac.com/players/player.php?p=jonesly01
1335.,Jim Gantner,,72.163,01-05-1953,09-03-1976,10-03-1992,https://www.baseball-almanac.com/players/player.php?p=gantnji01
1336.,Ivan DeJesus,,72.159,01-09-1953,09-13-1974,07-15-1988,https://www.baseball-almanac.com/players/player.php?p=dejesiv01
1337.,Phil Mankowski,,72.159,01-09-1953,08-30-1976,07-21-1982,https://www.baseball-almanac.com/players/player.php?p=mankoph01
1338.,Terry Whitfield,,72.156,01-12-1953,09-29-1974,05-23-1986,https://www.baseball-almanac.com/players/player.php?p=whitfte01
1339.,Dennis DeBarr,,72.152,01-16-1953,05-14-1977,07-26-1977,https://www.baseball-almanac.com/players/player.php?p=debarde01
1340.,Tim Stoddard,,72.144,01-24-1953,09-07-1975,07-09-1989,https://www.baseball-almanac.com/players/player.php?p=stoddti01
1341.,Junior Moore,,72.143,01-25-1953,08-02-1976,09-25-1980,https://www.baseball-almanac.com/players/player.php?p=mooreju01
