Rank,Name,Birth Date,Age,Debut,Final Game,Team,Profile Link
#,Name,Address,Age,Born on,First Game,Last Game,
416.,Joe Verbanic,,82.054,04-24-1943,07-20-1966,05-09-1970,https://www.baseball-almanac.com/players/player.php?p=verbajo01
417.,Bob Johnson,,82.053,04-25-1943,09-19-1969,06-05-1977,https://www.baseball-almanac.com/players/player.php?p=johnsbo03
418.,Dick Nold,,82.044,05-04-1943,08-19-1967,09-21-1967,https://www.baseball-almanac.com/players/player.php?p=nolddi01
419.,John Donaldson,,82.043,05-05-1943,08-26-1966,10-02-1974,https://www.baseball-almanac.com/players/player.php?p=donaljo01
420.,Steve Whitaker,,82.041,05-07-1943,08-23-1966,05-09-1970,https://www.baseball-almanac.com/players/player.php?p=whitast01
421.,Walt Hriniak,,82.026,05-22-1943,09-10-1968,09-30-1969,https://www.baseball-almanac.com/players/player.php?p=hriniwa01
422.,Tommy John,,82.026,05-22-1943,09-06-1963,05-25-1989,https://www.baseball-almanac.com/players/player.php?p=johnto01
423.,Ron Keller,,82.014,06-03-1943,07-09-1966,09-27-1968,https://www.baseball-almanac.com/players/player.php?p=kellero01
424.,Bruce Look,,82.008,06-09-1943,04-17-1968,09-27-1968,https://www.baseball-almanac.com/players/player.php?p=lookbr01
425.,Al Closter,,82.002,06-15-1943,04-19-1966,09-30-1973,https://www.baseball-almanac.com/players/player.php?p=clostal01
426.,John Gelnar,,81.357,06-25-1943,08-04-1964,04-30-1971,https://www.baseball-almanac.com/players/player.php?p=gelnajo01
427.,Rico Petrocelli,,81.355,06-27-1943,09-21-1963,09-14-1976,https://www.baseball-almanac.com/players/player.php?p=petrori01
428.,George Culver,,81.344,07-08-1943,09-07-1966,06-09-1974,https://www.baseball-almanac.com/players/player.php?p=culvege01
429.,Mike Andrews,,81.343,07-09-1943,09-18-1966,09-29-1973,https://www.baseball-almanac.com/players/player.php?p=andremi01
430.,Dick Simpson,,81.324,07-28-1943,09-21-1962,08-27-1969,https://www.baseball-almanac.com/players/player.php?p=simpsdi01
431.,Billy Wynne,,81.321,07-31-1943,08-06-1967,04-30-1971,https://www.baseball-almanac.com/players/player.php?p=wynnebi02
432.,Jackie Warner,,81.320,08-01-1943,04-12-1966,07-27-1966,https://www.baseball-almanac.com/players/player.php?p=warneja03
433.,Tom Burgmeier,,81.319,08-02-1943,04-10-1968,08-29-1984,https://www.baseball-almanac.com/players/player.php?p=burgmto01
434.,Jim Miles,,81.313,08-08-1943,09-07-1968,09-09-1969,https://www.baseball-almanac.com/players/player.php?p=milesji01
435.,Leroy Reams,,81.310,08-11-1943,05-07-1969,05-07-1969,https://www.baseball-almanac.com/players/player.php?p=reamsle01
436.,Hal Kurtz,,81.301,08-20-1943,04-18-1968,08-12-1968,https://www.baseball-almanac.com/players/player.php?p=kurtzha01
437.,Felix Millan,,81.300,08-21-1943,06-02-1966,08-12-1977,https://www.baseball-almanac.com/players/player.php?p=millafe01
438.,Lou Piniella,,81.293,08-28-1943,09-04-1964,06-16-1984,https://www.baseball-almanac.com/players/player.php?p=pinielo01
439.,Fred Rath,,81.289,09-01-1943,09-10-1968,09-28-1969,https://www.baseball-almanac.com/players/player.php?p=rathfr01
440.,Luke Walker,,81.288,09-02-1943,09-07-1965,10-01-1974,https://www.baseball-almanac.com/players/player.php?p=walkelu01
441.,Floyd Wicker,,81.278,09-12-1943,06-23-1968,07-07-1971,https://www.baseball-almanac.com/players/player.php?p=wickefl01
442.,Rich Morales,,81.270,09-20-1943,08-08-1967,10-02-1974,https://www.baseball-almanac.com/players/player.php?p=moralri01
443.,Winston Llenas,,81.267,09-23-1943,08-15-1968,09-14-1975,https://www.baseball-almanac.com/players/player.php?p=llenawi01
444.,Paul Dicken,,81.258,10-02-1943,06-07-1964,09-13-1966,https://www.baseball-almanac.com/players/player.php?p=dickepa01
445.,Jose Cardenal,,81.253,10-07-1943,04-14-1963,10-03-1980,https://www.baseball-almanac.com/players/player.php?p=cardejo02
446.,Don Pepper,,81.252,10-08-1943,09-10-1966,10-02-1966,https://www.baseball-almanac.com/players/player.php?p=peppedo01
447.,Sandy Alomar,,81.241,10-19-1943,09-15-1964,09-30-1978,https://www.baseball-almanac.com/players/player.php?p=alomasa01
448.,Brock Davis,,81.241,10-19-1943,04-09-1963,10-04-1972,https://www.baseball-almanac.com/players/player.php?p=davisbr02
449.,Bobby Floyd,,81.240,10-20-1943,09-18-1968,06-24-1974,https://www.baseball-almanac.com/players/player.php?p=floydbo01
450.,Al Schmelz,,81.217,11-12-1943,09-07-1967,09-24-1967,https://www.baseball-almanac.com/players/player.php?p=schmeal01
451.,Danny Lazar,,81.215,11-14-1943,06-21-1968,10-02-1969,https://www.baseball-almanac.com/players/player.php?p=lazarda01
452.,Greg Bollo,,81.213,11-16-1943,05-09-1965,10-02-1966,https://www.baseball-almanac.com/players/player.php?p=bollogr01
453.,Jim Shellenback,,81.211,11-18-1943,09-15-1966,09-21-1977,https://www.baseball-almanac.com/players/player.php?p=shellji01
454.,Daryl Patterson,,81.208,11-21-1943,04-10-1968,09-14-1974,https://www.baseball-almanac.com/players/player.php?p=patteda02
455.,Wade Blasingame,,81.207,11-22-1943,09-17-1963,09-22-1972,https://www.baseball-almanac.com/players/player.php?p=blasiwa01
456.,Jim Merritt,,81.190,12-09-1943,08-02-1965,05-23-1975,https://www.baseball-almanac.com/players/player.php?p=merriji01
457.,Dalton Jones,,81.189,12-10-1943,04-17-1964,10-04-1972,https://www.baseball-almanac.com/players/player.php?p=jonesda03
458.,Derrell Griffith,,81.187,12-12-1943,09-26-1963,06-28-1966,https://www.baseball-almanac.com/players/player.php?p=griffde01
459.,Ron Allen,,81.176,12-23-1943,08-11-1972,08-21-1972,https://www.baseball-almanac.com/players/player.php?p=allenro01
460.,Dennis Musgraves,,81.174,12-25-1943,07-09-1965,07-29-1965,https://www.baseball-almanac.com/players/player.php?p=musgrde01
461.,Roy White,,81.172,12-27-1943,09-07-1965,09-27-1979,https://www.baseball-almanac.com/players/player.php?p=whitero01
462.,Tito Fuentes,,81.164,01-04-1944,08-18-1965,07-09-1978,https://www.baseball-almanac.com/players/player.php?p=fuentti01
463.,Charlie Manuel,,81.164,01-04-1944,04-08-1969,09-21-1975,https://www.baseball-almanac.com/players/player.php?p=manuech01
464.,Charlie Vinson,,81.163,01-05-1944,09-19-1966,10-02-1966,https://www.baseball-almanac.com/players/player.php?p=vinsoch01
465.,Dick Calmus,,81.161,01-07-1944,04-22-1963,09-02-1967,https://www.baseball-almanac.com/players/player.php?p=calmudi01
466.,Larry Jaster,,81.155,01-13-1944,09-17-1965,10-04-1972,https://www.baseball-almanac.com/players/player.php?p=jastela01
467.,Carl Taylor,,81.148,01-20-1944,04-11-1968,09-29-1973,https://www.baseball-almanac.com/players/player.php?p=tayloca01
468.,Paul Ratliff,,81.145,01-23-1944,04-14-1963,07-23-1972,https://www.baseball-almanac.com/players/player.php?p=ratlipa01
469.,Gary Holman,,81.143,01-25-1944,06-26-1968,06-18-1969,https://www.baseball-almanac.com/players/player.php?p=holmaga01
470.,Jim Campanis,,81.128,02-09-1944,09-20-1966,10-01-1973,https://www.baseball-almanac.com/players/player.php?p=campaji01
